epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.813180,0.804700,0.225553,0.932100
2,0.181701,0.945250,0.131034,0.959200
3,0.123154,0.962517,0.098753,0.966200
4,0.099905,0.969733,0.082639,0.974300
5,0.085831,0.974250,0.069400,0.976800
6,0.079559,0.974883,0.070051,0.977100
7,0.070672,0.978217,0.061860,0.979100
8,0.068471,0.979033,0.058530,0.979600
9,0.062860,0.979833,0.052598,0.983600
10,0.060913,0.981200,0.068592,0.977000
