epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.217826,0.935533,0.054686,0.983100
2,0.056637,0.982333,0.035590,0.988900
3,0.037853,0.988133,0.034416,0.987700
4,0.030235,0.990667,0.028787,0.991000
5,0.022797,0.992783,0.031913,0.990700
6,0.017008,0.994650,0.028150,0.992100
7,0.016006,0.994533,0.034368,0.989900
8,0.013826,0.995467,0.022634,0.993600
9,0.012140,0.996017,0.031852,0.990700
10,0.009635,0.996633,0.026800,0.991300
