epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.1,2.0221825972747802,0.24398,1.665813423538208,0.3683
2,0.1,1.5257892551422119,0.43528,1.4825237363815307,0.4566
3,0.1,1.1542805053710938,0.58342,1.2661915723800659,0.5795
4,0.1,0.8976668994522095,0.68432,0.8878096231460572,0.6874
5,0.1,0.7457979967498779,0.73892,0.7571030909538269,0.7368
6,0.1,0.6541355187129975,0.77276,0.6811988320350647,0.7683
7,0.1,0.5928965139579773,0.79484,0.7480191019058228,0.755
8,0.1,0.5432441590118409,0.81222,0.7751552218437194,0.7404
9,0.1,0.5069266436672211,0.82346,0.6175779306411743,0.7949
10,0.1,0.47607852756500246,0.83532,0.543302133846283,0.8157
