epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.1,1.7972813507461547,0.30992,1.7273475254058839,0.3863
2,0.1,1.4079156482315063,0.48212,1.348735256576538,0.507
3,0.1,1.1012212479972838,0.60542,1.1777089591979981,0.5947
4,0.1,0.908633738117218,0.68066,0.9701270998954773,0.6662
5,0.1,0.7981739171981812,0.72184,0.8740515577316285,0.709
6,0.1,0.7208029474258423,0.74984,0.8963477069854736,0.7047
7,0.1,0.676335613269806,0.76448,0.8229754487991333,0.7282
8,0.1,0.6370382839870453,0.78022,0.8420194730758667,0.7338
9,0.1,0.6016975265312194,0.7918,0.7610056736946106,0.7513
10,0.1,0.58052322265625,0.8009,0.7521757925987244,0.7475
