epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.387899,0.883567,0.129539,0.958800
2,0.103764,0.968167,0.076942,0.976000
3,0.073242,0.977433,0.054383,0.983300
4,0.058930,0.982000,0.046469,0.985700
5,0.048730,0.984750,0.041358,0.986600
6,0.041538,0.987517,0.037344,0.988200
7,0.035651,0.988533,0.034798,0.988500
8,0.030652,0.989850,0.043111,0.985600
9,0.026710,0.991567,0.034686,0.987700
10,0.025779,0.991750,0.032996,0.989200
