epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.228938,0.616150,0.299754,0.928400
2,0.198755,0.947100,0.132037,0.962700
3,0.119416,0.966133,0.093128,0.972400
4,0.092573,0.973450,0.075321,0.977200
5,0.076661,0.977367,0.064397,0.979900
6,0.066548,0.980150,0.065335,0.981000
7,0.058489,0.982250,0.053340,0.983200
8,0.051797,0.984200,0.052997,0.981200
9,0.046758,0.986083,0.051857,0.983600
10,0.042538,0.987117,0.041422,0.986400
