epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,165.242967,147.070054,18.172913,117.153502,91.842271,25.311231
2,113.013247,87.623909,25.389337,109.065503,83.983867,25.081636
3,108.210405,82.457047,25.753358,106.516329,80.494181,26.022148
4,106.096252,80.184653,25.911599,104.708364,78.788645,25.919719
5,104.835733,78.830900,26.004833,103.836177,77.943259,25.892917
6,103.914646,77.888995,26.025652,103.058279,77.676823,25.381457
7,103.242365,77.230387,26.011978,102.703772,77.209655,25.494116
8,102.683378,76.696400,25.986978,101.992134,75.224110,26.768024
9,102.234566,76.288324,25.946242,101.784057,76.015847,25.768210
10,101.806935,75.912496,25.894439,101.282014,75.424138,25.857876
11,101.415156,75.577360,25.837795,100.942613,74.978121,25.964492
12,101.073919,75.303626,25.770294,100.858959,75.248397,25.610562
13,100.786374,75.042271,25.744103,100.395743,74.461676,25.934067
14,100.583753,74.862485,25.721268,100.303927,75.033920,25.270006
15,100.318726,74.683778,25.634949,99.917422,74.061587,25.855835
16,100.098095,74.485951,25.612144,99.760752,73.833033,25.927719
17,99.866010,74.301571,25.564439,99.644703,74.110928,25.533775
18,99.699798,74.185095,25.514703,99.447068,74.587984,24.859084
19,99.566828,74.093676,25.473152,99.234934,74.102965,25.131969
20,99.364783,73.925827,25.438956,99.250914,74.034413,25.216501
