epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,201.455330,195.956372,5.498958,174.868653,169.540879,5.327773
2,170.127700,164.909112,5.218587,165.477271,160.254774,5.222497
3,163.240343,157.889707,5.350635,161.193644,155.591729,5.601915
4,159.899868,154.371451,5.528417,158.532185,152.946897,5.585288
5,158.015611,152.399956,5.615655,157.284277,151.540698,5.743578
6,156.707535,150.998345,5.709190,155.897239,150.177734,5.719506
7,155.705703,149.954181,5.751522,155.089072,149.184520,5.904552
8,154.903776,149.093419,5.810357,154.904349,149.189824,5.714526
9,154.178999,148.340140,5.838859,153.851238,148.032847,5.818392
10,153.640317,147.738948,5.901369,153.847606,148.008363,5.839244
11,153.132727,147.220627,5.912100,153.074197,147.041457,6.032741
12,152.691133,146.750727,5.940406,153.769346,147.835777,5.933569
13,152.297393,146.332203,5.965190,152.712968,146.710286,6.002682
14,152.103894,146.127806,5.976088,152.275855,146.231560,6.044295
15,151.643074,145.646621,5.996453,152.122564,145.938857,6.183707
16,151.467662,145.444151,6.023511,151.826673,145.687037,6.139636
17,151.123079,145.095316,6.027763,151.662717,145.625808,6.036909
18,150.934453,144.890155,6.044298,151.482590,145.319418,6.163173
19,150.652040,144.606494,6.045546,151.582645,145.557069,6.025576
20,150.531084,144.463041,6.068043,151.794711,145.805212,5.989499
