epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.303906,0.909383,0.094679,0.970200
2,0.078251,0.975283,0.048091,0.984200
3,0.053535,0.983200,0.040989,0.986800
4,0.042419,0.986583,0.039473,0.987400
5,0.034226,0.989467,0.035946,0.986600
6,0.029595,0.990400,0.035424,0.988000
7,0.024156,0.992233,0.029406,0.991200
8,0.020928,0.993333,0.039385,0.986800
9,0.016642,0.994767,0.032077,0.988700
10,0.015964,0.994883,0.032236,0.989500
