epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.274975,0.923683,0.069645,0.977400
2,0.065067,0.979900,0.047943,0.986100
3,0.044557,0.986717,0.037309,0.988200
4,0.033746,0.990017,0.041224,0.986200
5,0.026777,0.991950,0.037561,0.988500
6,0.020326,0.994133,0.034036,0.988800
7,0.017034,0.994683,0.040733,0.986900
8,0.012408,0.996317,0.037586,0.987900
9,0.011201,0.996600,0.041466,0.988400
10,0.009286,0.997283,0.036462,0.989100
